t,x{A=1 x__init=1},y{A=1 x__init=1},x{A=1 x__init=2},y{A=1 x__init=2},x{A=1 x__init=1.5},y{A=1 x__init=1.5},x{A=2 x__init=1},y{A=2 x__init=1},x{A=2 x__init=2},y{A=2 x__init=2},x{A=2 x__init=1.5},y{A=2 x__init=1.5},x{A=3 x__init=1},y{A=3 x__init=1},x{A=3 x__init=2},y{A=3 x__init=2},x{A=3 x__init=1.5},y{A=3 x__init=1.5}
0,1,1,2,1.5,1.5,3,1,1,2,1.5,1.5,3,1,1,2,1.5,1.5,3
.1,.8265644030927732,1.1825239859495533,1.8916988601018654,1.5135913302873514,1.6931258368601367,2.747514701582841,.9175303156777135,1.1868664079542968,2,1.5,1.822094384451908,2.71261161445052,1.0091494584348297,1.1905391668130738,2.109092414378214,1.4855965481215314,1.9532118756848156,2.675505725317258
.2,.6957638049178607,1.3375098378122678,1.7725479623693647,1.549470664610089,1.915923810825374,2.4444390151025606,.8624660747136952,1.3531199828777183,2,1.5,2.2396435157171353,2.2926778139793864,1.0341744897250098,1.3634691112511488,2.2320667053543044,1.4456497203660954,2.5742353418145925,2.129335251968744
.3,.5964958289675859,1.472392403565578,1.6490892109355983,1.6018325488403848,2.1422911835420715,2.1150198463824137,.8267789447332341,1.5044817671979447,2,1.5,2.692005748573468,1.7934815235031354,1.0731262080388972,1.519265101365213,2.3609639305160965,1.3871126926217499,3.2236050882295224,1.489039015148494
.4,.521227968875653,1.591948600846336,1.525669402254006,1.6665284461832501,2.326585895212691,1.8067246466168483,.8053721518508007,1.6443839897525863,2,1.5,3.032836060283151,1.3648787521561438,1.125730591728714,1.6568340903078085,2.4865770425523777,1.3190567625456178,3.6166653682318795,1.051157270825401
.5,.46440685242113067,1.6996222870185436,1.4051383494928886,1.7405521902461456,2.4273477162738386,1.5674710980130424,.7949036663926343,1.7749192319300764,2,1.5,3.1739170629590205,1.1118485544202492,1.193010207526184,1.7737470744573796,2.600358077407926,1.2508007902182363,3.726546316474051,.8723939012854813
.6,.42176779471860776,1.798055702909229,1.2893814523751062,1.8216289315869367,2.4346657247584944,1.4163252787625564,.7931647529875143,1.8973205167878469,2,1.5,3.162525162904824,1.0055073697707886,1.2771364435587844,1.8662658535627747,2.696531885563366,1.1896216431613487,3.703569266238972,.8232681285740188
.7,.3899904615600394,1.88932387347886,1.1796773930818059,1.9079346787121696,2.3678787646105914,1.3424844214072378,.7987249895215622,2.012222272120318,2,1.5,3.0769354933113435,.9787555935829765,1.3813590557701165,1.9293021027626232,2.773101083293555,1.139408601526143,3.6399489277127874,.8195679645104265
.8,.3664912286945502,1.975058888392759,1.0769188975142092,1.9979242062129903,2.254499546550825,1.3244612070047799,.810720612271791,2.119805628959983,2,1.5,2.9647639573673095,.9887388722486484,1.5098153564852186,1.9565077151612371,2.8312978248222187,1.1008498933394446,3.5690026683338845,.8300667827448656
.9,.34927316195237174,2.0565340708621784,.981736642169133,2.0902388887724728,2.1166734044477833,1.3435956155421644,.8287284136945329,2.21987472634627,2,1.5,2.8477356840956514,1.015151331466612,1.6668492425639934,1.940894727680747,2.8741664606552386,1.0725950316921111,3.5010504140915613,.8445590765036539
1,.33680569646214586,2.1347318402186373,.8945588359491169,2.1836699248262783,1.9687324452534358,1.3872242530766603,.8526962883806637,2.3118859781316554,2,1.5,2.7348520932781,1.048959868378792,1.855191554214585,1.8767124526023877,2.9052168161135636,1.0524910935114704,3.4389728665050154,.8596884336777388
1.1,.32792501298568,2.2104018356128523,.8156320839204702,2.277156445915672,1.819110908114239,1.4474636845149806,.8829158043688728,2.3949400760672663,2,1.5,2.6296359343754814,1.0860227217837595,2.072319404893966,1.7634152548425919,2.9276090369785077,1.0383969266084856,3.3832942629802827,.8743066356315917
1.2,.32175203155471277,2.2841104869280375,.7450239578071558,2.369800898482692,1.672585807964822,1.5194432497484902,.9200301064256502,2.4677396048774893,2,1.5,2.5332912856217322,1.124296753968144,2.3057010919966756,1.6111831239601035,2.9438456338466352,1.0285449041941808,3.333786284311335,.8880102550992726
1.3,.31762616174950636,2.3562822266447836,.6826229605925672,2.4608870145798947,1.531838825413174,1.6000247679240902,.9650751867048022,2.528510828289761,2,1.5,2.4460263239927973,1.162670974876043,2.5314312747174434,1.4434134594841375,2.9557660720507837,1.0216140291652167,3.2899886771656006,.9006645688935536
1.4,.31505286145720984,2.427232810507638,.6281462534843874,2.5498896980036347,1.398394221334952,1.687022993357845,1.019554747059251,2.5748860792540476,2,1.5,2.367616719591606,1.2004706874268225,2.7223671664109745,1.2894041080771899,2.9646649006203654,1.0166726965910744,3.251385203533807,.9122404727489479
1.5,.313662862712692,2.4971956137006863,.581159707729312,2.6364712108616164,1.2731497890002377,1.7787612631140308,1.0855468275738844,2.603745266289862,2,1.5,2.297653784754746,1.2372385418684628,2.862294117054742,1.1697984814325324,2.9714320792290883,1.0130857852022668,3.217465062438741,.9227550630481447
1.6,.31318092283697585,2.566341985551664,.5411095540685293,2.7204631530220493,1.1566648827588994,1.873830185342023,1.1658281464801847,2.6110279031907253,2,1.5,2.235657268544362,1.2726338156653116,2.952053264073232,1.088943602531509,2.9766737073010745,1.010428114582864,3.1877444603505025,.9322482568952616
1.7,.31340213905604936,2.6347967722094463,.5073612745388659,2.8018376265839806,1.0493049884957955,1.970968776729672,1.2639646577562935,2.5915674741642145,2,1.5,2.18112751635415,1.3063844705494494,3.0032303707191854,1.03973875126426,2.980802992755468,1.0084170672446273,3.1617737204751255,.9407725570781207
